BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
1,295847284,adventure-works\ken0,NULL,NULL,Chief Executive Officer,1/29/1969,S,M,1/14/2009,1,99,69,1,F01251E5-96A3-448D-981E-0F99D789110D,00:00.0
2,245797967,adventure-works\terri0,0x58,1,Vice President of Engineering,8/1/1971,S,F,1/31/2008,1,1,20,1,45E8F437-670D-4409-93CB-F9424A40D6EE,00:00.0
3,509647174,adventure-works\roberto0,0x5AC0,2,Engineering Manager,11/12/1974,M,M,11/11/2007,1,2,21,1,9BBBFB2C-EFBB-4217-9AB7-F97689328841,00:00.0
4,112457891,adventure-works\rob0,0x5AD6,3,Senior Tool Designer,12/23/1974,S,M,12/5/2007,0,48,80,1,59747955-87B8-443F-8ED4-F8AD3AFDF3A9,00:00.0
5,695256908,adventure-works\gail0,0x5ADA,3,Design Engineer,9/27/1952,M,F,1/6/2008,1,5,22,1,EC84AE09-F9B8-4A15-B4A9-6CCBAB919B08,00:00.0
6,998320692,adventure-works\jossef0,0x5ADE,3,Design Engineer,3/11/1959,M,M,1/24/2008,1,6,23,1,E39056F1-9CD5-478D-8945-14ACA7FBDCDD,00:00.0
7,134969118,adventure-works\dylan0,0x5AE1,3,Research and Development Manager,2/24/1987,M,M,2/8/2009,1,61,50,1,4F46DECA-EF01-41FD-9829-0ADAB368E431,00:00.0
8,811994146,adventure-works\diane1,0x5AE158,4,Research and Development Engineer,6/5/1986,S,F,12/29/2008,1,62,51,1,31112635-663B-4018-B4A2-A685C0BF48A4,00:00.0
9,658797903,adventure-works\gigi0,0x5AE168,4,Research and Development Engineer,1/21/1979,M,F,1/16/2009,1,63,51,1,50B6CDC6-7570-47EF-9570-48A64B5F2ECF,00:00.0
10,879342154,adventure-works\michael6,0x5AE178,4,Research and Development Manager,11/30/1984,M,M,5/3/2009,1,16,64,1,EAA43680-5571-40CB-AB1A-3BF68F04459E,00:00.0
11,974026903,adventure-works\ovidiu0,0x5AE3,3,Senior Tool Designer,1/17/1978,S,M,12/5/2010,0,7,23,1,F68C7C19-FAC1-438C-9BB7-AC33FCC341C3,00:00.0
12,480168528,adventure-works\thierry0,0x5AE358,4,Tool Designer,7/29/1959,M,M,12/11/2007,0,9,24,1,1D955171-E773-4FAD-8382-40FD898D5D4D,00:00.0
13,486228782,adventure-works\janice0,0x5AE368,4,Tool Designer,5/28/1989,M,F,12/23/2010,0,8,24,1,954B91B6-5AA7-48C2-8685-6E11C6E5C49A,00:00.0
14,42487730,adventure-works\michael8,0x5AE5,3,Senior Design Engineer,6/16/1979,S,M,12/30/2010,1,3,21,1,46286CA4-46DD-4DDB-9128-85B67E98D1A9,00:00.0
15,56920285,adventure-works\sharon0,0x5AE7,3,Design Engineer,5/2/1961,M,F,1/18/2011,1,4,22,1,54F2FDC0-87C4-4065-A7A8-9AC8EA624235,00:00.0
